time_s,speed_mps
0.0160,0.0000
0.0490,0.0000
0.0820,0.0000
0.1150,-0.0123
0.1480,0.0258
0.1810,0.0230
0.2140,0.0255
0.2470,0.1185
0.2800,0.2487
0.3130,0.3628
0.3460,0.4217
0.3790,0.4811
0.4120,0.5418
0.4450,0.6231
0.4780,0.7373
0.5110,0.8848
0.5440,1.0134
0.5770,1.0599
0.6100,1.0818
0.6430,1.0987
0.6760,1.1225
0.7090,1.1611
0.7420,1.2195
0.7750,1.2842
0.8080,1.3429
0.8410,1.3931
0.8740,1.4368
0.9070,1.4770
0.9400,1.5146
0.9730,1.5498
1.0060,1.5831
1.0390,1.6102
1.0720,1.6350
1.1050,1.6594
1.1380,1.6825
1.1710,1.7026
1.2040,1.7211
1.2370,1.7369
1.2700,1.7503
1.3030,1.7628
1.3360,1.7744
1.3690,1.8029
1.4020,1.8167
1.4350,1.8104
1.4680,1.8013
1.5010,1.7968
1.5340,1.7981
1.5670,1.8026
1.6000,1.8073
1.6330,1.8104
1.6660,1.8129
1.6990,1.8154
1.7320,1.8173
1.7650,1.8193
1.7980,1.8219
1.8310,1.8241
1.8640,1.8259
1.8970,1.8276
1.9300,1.8293
1.9630,1.8309
1.9960,1.8278
2.0290,1.8204
2.0620,1.8185
2.0950,1.8291
2.1280,1.8405
2.1610,1.8478
2.1940,1.8521
2.2270,1.8557
2.2600,1.8588
2.2930,1.8618
2.3260,1.8657
2.3590,1.8699
2.3920,1.8742
2.4250,1.8782
2.4580,1.8822
2.4910,1.8848
2.5240,1.8873
2.5570,1.8804
2.5900,1.8770
2.6230,1.8888
2.6560,1.9026
2.6890,1.9112
2.7220,1.9159
2.7550,1.9203
2.7880,1.9258
2.8210,1.9315
2.8540,1.9368
2.8870,1.9423
2.9200,1.9480
2.9530,1.9536
2.9860,1.9592
3.0190,1.9640
3.0520,1.9682
3.0850,1.9616
3.1180,1.9666
3.1510,1.9783
3.1840,1.9885
3.2170,1.9963
3.2500,2.0023
3.2830,2.0077
3.3160,2.0142
3.3490,2.0212
3.3820,2.0272
3.4150,2.0327
3.4480,2.0391
3.4810,2.0460
3.5140,2.0530
3.5470,2.0588
3.5800,2.0635
3.6130,2.0621
3.6460,2.0699
3.6790,2.0810
3.7120,2.0903
3.7450,2.0972
3.7780,2.1034
3.8110,2.1099
3.8440,2.1166
3.8770,2.1233
3.9100,2.1301
3.9430,2.1367
3.9760,2.1433
4.0090,2.1507
4.0420,2.1586
4.0750,2.1610
4.1080,2.1679
4.1410,2.1772
4.1740,2.1863
4.2070,2.1932
4.2400,2.1991
4.2730,2.2060
4.3060,2.2139
4.3390,2.2212
4.3720,2.2283
4.4050,2.2357
4.4380,2.2431
4.4710,2.2505
4.5040,2.2577
4.5370,2.2627
4.5700,2.2703
4.6030,2.2796
4.6360,2.2880
4.6690,2.2950
4.7020,2.3026
4.7350,2.3113
4.7680,2.3195
4.8010,2.3257
4.8340,2.3318
4.8670,2.3396
4.9000,2.3483
4.9330,2.3567
4.9660,2.3627
4.9990,2.3694
5.0320,2.3776
5.0650,2.3862
5.0980,2.3945
5.1310,2.4024
5.1640,2.4102
5.1970,2.4186
5.2300,2.4274
5.2630,2.4355
5.2960,2.4430
5.3290,2.4505
5.3620,2.4582
5.3950,2.4663
5.4280,2.4755
5.4610,2.4838
5.4940,2.4921
5.5270,2.5007
5.5600,2.5085
5.5930,2.5166
5.6260,2.5251
5.6590,2.5338
5.6920,2.5424
5.7250,2.5508
5.7580,2.5591
5.7910,2.5672
5.8240,2.5756
5.8570,2.5841
5.8900,2.5934
5.9230,2.6021
5.9560,2.6102
5.9890,2.6192
6.0220,2.6280
6.0550,2.6361
6.0880,2.6449
6.1210,2.6543
6.1540,2.6636
6.1870,2.6726
6.2200,2.6816
6.2530,2.6906
6.2860,2.6996
6.3190,2.7085
6.3520,2.7174
6.3850,2.7257
6.4180,2.7338
6.4510,2.7433
6.4840,2.7538
6.5170,2.7631
6.5500,2.7714
6.5830,2.7807
6.6160,2.7908
6.6490,2.7999
6.6820,2.8092
6.7150,2.8189
6.7480,2.8283
6.7810,2.8374
6.8140,2.8467
6.8470,2.8564
6.8800,2.8659
6.9130,2.8754
6.9460,2.8848
6.9790,2.8951
7.0120,2.9049
7.0450,2.9141
7.0780,2.9240
7.1110,2.9344
7.1440,2.9447
7.1770,2.9548
7.2100,2.9641
7.2430,2.9728
7.2760,2.9825
7.3090,2.9930
7.3420,3.0033
7.3750,3.0134
7.4080,3.0233
7.4410,3.0332
7.4740,3.0441
7.5070,3.0554
7.5400,3.0655
7.5730,3.0749
7.6060,3.0851
7.6390,3.0962
7.6720,3.1062
7.7050,3.1164
7.7380,3.1271
7.7710,3.1372
7.8040,3.1477
7.8370,3.1584
7.8700,3.1689
7.9030,3.1802
7.9360,3.1910
7.9690,3.2012
8.0020,3.2121
8.0350,3.2228
